congress,person_id,person_name,party,state,party_percentage
102,A000014,"Abercrombie",D,HI,0.9652509652509652
102,A000022,"Ackerman",D,NY,0.7432432432432432
102,A000103,"Alexander",D,AR,0.7432432432432432
102,A000109,"Allard",R,CO,0.9689922480620154
102,A000189,"Anderson",D,CA,0.9616122840690979
102,A000211,"Andrews (ME)",D,ME,0.9844054580896686
102,A000210,"Andrews",D,NJ,0.9613899613899614
102,A000209,"Andrews (TX)",D,TX,0.9883040935672515
102,A000212,"Annunzio",D,IL,0.9429657794676806
102,A000213,"Anthony",D,AR,0.7735849056603774
102,A000215,"Archer",R,TX,0.8955223880597015
102,A000217,"Armey",R,TX,0.965183752417795
102,A000224,"Aspin",D,WI,0.9029850746268657
102,A000226,"Atkins",D,MA,0.9391634980988594
102,A000337,"AuCoin",D,OR,0.8110516934046346
102,B000008,"Bacchus (FL)",D,FL,0.9541108986615678
102,B000072,"Baker (LA)",R,LA,0.9392789373814042
102,B000104,"Ballenger",R,NC,0.9576923076923077
102,B000153,"Barnard",D,GA,0.747870528109029
102,B000179,"Barrett (NE)",R,NE,0.98046875
102,B000204,"Bartlett",R,TX,0.8666666666666667
102,B000213,"Barton",R,TX,0.8917910447761194
102,B000229,"Bateman",R,VA,0.9651162790697675
102,B000318,"Beilenson",D,CA,0.9427480916030534
102,B000371,"Bennett",D,FL,1.0
102,B000392,"Bentley",R,MD,0.9845559845559846
102,B000403,"Bereuter",R,NE,0.9843444227005871
102,B000410,"Berman",D,CA,0.9177570093457944
102,B000431,"Bevill",D,AL,0.9393939393939394
102,B000462,"Bilbray",D,NV,0.9653846153846154
102,B000463,"Bilirakis",R,FL,0.9653179190751445
102,B000556,"Bliley",R,VA,0.9806201550387597
102,B000586,"Boehlert",R,NY,0.9921722113502935
102,B000589,"Boehner",R,OH,0.9575289575289575
102,B000619,"Bonior",D,MI,0.7859649122807018
102,B000644,"Borski",D,PA,0.9767441860465116
102,B000657,"Boucher",D,VA,0.9428571428571428
102,B000711,"Boxer",D,CA,0.6080870917573873
102,B000817,"Brewster",D,OK,0.9844357976653697
102,B000880,"Brooks",D,TX,0.8990654205607477
102,B000890,"Broomfield",R,MI,0.850909090909091
102,B000897,"Browder",D,AL,0.97678916827853
102,B000918,"Brown (CA)",D,CA,0.9037037037037037
102,B000971,"Bruce",D,IL,0.9689922480620154
102,B000997,"Bryant (TX)",D,TX,0.8860294117647058
102,B001066,"Bunning",R,KY,0.9539347408829175
102,B001172,"Bustamante",D,TX,0.8511796733212341
102,B001220,"Byron",D,MD,0.8961038961038961
102,C000052,"Callahan",R,AL,0.8886827458256029
102,C000071,"Camp",R,MI,0.9960707269155207
102,C000100,"Campbell (CA)",R,CA,0.8127208480565371
102,C000077,"Campbell (CO)",D,CO,0.7927461139896373
102,C000141,"Cardin",D,MD,0.9651162790697675
102,C000174,"Carper",D,DE,0.9766990291262136
102,C000178,"Carr",D,MI,0.9240986717267552
102,C000293,"Chandler",R,WA,0.8574040219378428
102,C000312,"Chapman",D,TX,0.8919925512104283
102,C000523,"Clinger",R,PA,0.9427480916030534
102,C000618,"Coleman (MO)",R,MO,0.9501915708812261
102,C000621,"Coleman",D,TX,0.9428571428571428
102,C000633,"Collins (MI)",D,MI,0.9405204460966543
102,C000653,"Combest",R,TX,0.9960707269155207
