congress,person_id,person_name,party,state,party_percentage
104,S238,Abraham (R-MI),R,MI,0.79325354
104,S213,Akaka (D-HI),D,HI,0.8237214
104,S239,Ashcroft (R-MO),R,MO,0.8367791
104,S127,Baucus (D-MT),D,MT,0.51468986
104,S231,Bennett (R-UT),R,UT,0.81066376
104,S010,Biden (D-DE),D,DE,0.6082699
104,S200,Bond (R-MO),R,MO,0.7760532
104,S132,Bradley (D-NJ),D,NJ,0.5816994
104,S179,Breaux (D-LA),D,LA,0.61697495
104,S214,Brown (R-CO),R,CO,0.7214363
104,S211,Burns (R-MT),R,MT,0.8628945
104,S017,Byrd (D-WV),D,WV,0.59085965
104,S116,Chafee (R-RI),R,RI,0.49075082
104,S212,Coats (R-IN),R,IN,0.81066376
104,S136,Cochran (R-MS),R,MS,0.83460283
104,S137,Cohen (R-ME),R,ME,0.41022852
104,S201,Conrad (D-ND),D,ND,0.7279652
104,S228,Coverdell (R-GA),R,GA,0.8932462
104,S215,Craig (R-ID),R,ID,0.8868335
104,S147,D'Amato (R-NY),R,NY,0.7407407
104,S185,Daschle (D-SD),D,SD,1.0
104,S240,DeWine (R-OH),R,OH,0.7279652
104,S150,Dodd (D-CT),D,CT,0.69967353
104,S026,Dole (R-KS),R,KS,0.8573281
104,S027,Domenici (R-NM),R,NM,0.7801959
104,S222,Dorgan (D-ND),D,ND,0.7236126
104,S129,Exon (D-NE),D,NE,0.5751634
104,S227,Faircloth (R-NC),R,NC,0.7780196
104,S221,Feinstein (D-CA),D,CA,0.63656145
104,S033,Ford (D-KY),D,KY,0.67791075
104,S241,Frist (R-TN),R,TN,0.85418934
104,S035,Glenn (D-OH),D,OH,0.69967353
104,S152,Gorton (R-WA),R,WA,0.7385621
104,S171,Gramm (R-TX),R,TX,0.7366703
104,S242,Grams (R-MN),R,MN,0.83025026
104,S153,Grassley (R-IA),R,IA,0.7823721
104,S224,Gregg (R-NH),R,NH,0.7366703
104,S118,Hatch (R-UT),R,UT,0.8171926
104,S044,Hatfield (R-OR),R,OR,0.44940153
104,S130,Heflin (D-AL),D,AL,0.41022852
104,S046,Helms (R-NC),R,NC,0.788901
104,S235,Hutchison (R-TX),R,TX,0.8628945
104,S236,Inhofe (R-OK),R,OK,0.84983677
104,S051,Inouye (D-HI),D,HI,0.7040261
104,S204,Jeffords (R-VT),R,VT,0.31515813
104,S054,Johnston (D-LA),D,LA,0.5125136
104,S140,Kassebaum (R-KS),R,KS,0.5751634
104,S232,Kempthorne (R-ID),R,ID,0.87377584
104,S209,Kohl (D-WI),D,WI,0.6256801
104,S243,Kyl (R-AZ),R,AZ,0.81066376
104,S131,Levin (D-MI),D,MI,0.7366703
104,S203,Lott (R-MS),R,MS,1.0
104,S105,Lugar (R-IN),R,IN,0.71926004
104,S205,Mack (R-FL),R,FL,0.7821782
104,S197,McCain (R-AZ),R,AZ,0.6648531
104,S174,McConnell (R-KY),R,KY,0.87159956
104,S182,Mikulski (D-MD),D,MD,0.7214363
104,S113,Moynihan (D-NY),D,NY,0.61262244
104,S157,Murkowski (R-AK),R,AK,0.8237214
104,S229,Murray (D-WA),D,WA,0.7671382
104,S158,Nickles (R-OK),R,OK,0.867247
104,S075,Packwood (R-OR),R,OR,0.6166667
104,S141,Pressler (R-SD),R,SD,0.8258977
104,S198,Reid (D-NV),D,NV,0.59738845
104,S083,Roth (R-DE),R,DE,0.6605005
104,S244,Santorum (R-PA),R,PA,0.8171926
104,S184,Shelby (D-AL),D,AL,-0.22524484
104,S142,Simpson (R-WY),R,WY,0.6772083
104,S216,Smith (R-NH),R,NH,0.8019587
104,S245,Snowe (R-ME),R,ME,0.51033735
104,S161,Specter (R-PA),R,PA,0.40522876
104,S090,Stevens (R-AK),R,AK,0.7780196
104,S246,Thomas (R-WY),R,WY,0.8215452
104,S237,Thompson (R-TN),R,TN,0.75408053
104,S096,Thurmond (R-SC),R,SC,0.90642
104,S143,Warner (R-VA),R,VA,0.7780196
104,S167,Bingaman (D-NM),D,NM,0.6844396
104,S223,Boxer (D-CA),D,CA,0.74482006
104,S206,Bryan (D-NV),D,NV,0.640914
104,S014,Bumpers (D-AR),D,AR,0.69967353
104,S230,Feingold (D-WI),D,WI,0.61044616
104,S199,Graham (D-FL),D,FL,0.640914
104,S172,Harkin (D-IA),D,IA,0.7149075
104,S055,Kennedy (D-MA),D,MA,0.7453754
104,S208,Kerrey (D-NE),D,NE,0.6430903
104,S173,Kerry (D-MA),D,MA,0.7170838
104,S166,Lautenberg (D-NJ),D,NJ,0.7040261
104,S210,Lieberman (D-CT),D,CT,0.5212187
104,S226,Moseley-Braun (D-IL),D,IL,0.66920567
104,S078,Pell (D-RI),D,RI,0.69584244
104,S125,Pryor (D-AR),D,AR,0.6822633
104,S207,Robb (D-VA),D,VA,0.5734494
104,S106,Sarbanes (D-MD),D,MD,0.7649619
104,S175,Simon (D-IL),D,IL,0.6213275
104,S217,Wellstone (D-MN),D,MN,0.7257889
104,S225,Campbell (D-CO),D,CO,-0.08161045
104,S047,Hollings (D-SC),D,SC,0.5669206
104,S057,Leahy (D-VT),D,VT,0.7170838
104,S074,Nunn (D-GA),D,GA,0.40805224
104,S176,Rockefeller (D-WV),D,WV,0.7366703
104,S247,Wyden (D-OR),D,OR,0.738255
104,S248,Frahm (R-KS),R,KS,0.7837838
