congress,person_id,person_name,party,state,party_percentage,num_votes_with,num_votes_against
113,B000574,"Blumenauer (D-OR)",D,OR,0.7618147448015122,466,63
113,L000287,"Lewis (D-GA)",D,GA,0.6648648648648648,462,93
113,L000563,"Lipinski (D-IL)",D,IL,0.6834264432029795,452,85
113,R000486,"Roybal-Allard (D-CA)",D,CA,0.8181818181818182,480,48
113,B001259,"Braley (D-IA)",D,IA,0.6728624535315985,450,88
113,B000911,"Brown (D-FL)",D,FL,0.7247706422018348,470,75
113,B001251,"Butterfield (D-NC)",D,NC,0.7686567164179104,474,62
113,C001046,"Cantor (R-VA)",R,VA,1.0,526,0
113,C001036,"Capps (D-CA)",D,CA,0.8168224299065421,486,49
113,C001051,"Carter (R-TX)",R,TX,0.6388888888888888,413,91
113,C001059,"Costa (D-CA)",D,CA,0.5592592592592592,421,119
113,C001045,"Crenshaw (R-FL)",R,FL,0.7137254901960784,437,73
113,C001048,"Culberson (R-TX)",R,TX,0.46875,376,136
113,D000191,"DeFazio (D-OR)",D,OR,0.7121495327102804,458,77
113,F000445,"Forbes (R-VA)",R,VA,0.7001972386587771,431,76
113,G000551,"Grijalva (D-AZ)",D,AZ,0.5918367346938775,429,110
113,G000535,"Gutierrez (D-IL)",D,IL,0.5080789946140036,420,137
113,H001068,"Huffman (D-CA)",D,CA,0.8222222222222222,492,48
113,J000032,"Jackson (D-TX)",D,TX,0.7037037037037037,460,80
113,J000174,"Johnson (R-Sam")",R,Sam",0.5852713178294574,409,107
113,K000220,"Kingston (R-GA)",R,GA,0.491588785046729,399,136
113,K000368,"Kirkpatrick (D-AZ)",D,AZ,0.7011070110701108,461,81
113,M000087,"Maloney (D-Carolyn")",D,Carolyn",0.7251908396946565,452,72
113,M001144,"Miller (R-FL)",R,FL,0.5769230769230769,410,110
113,M001160,"Moore (D-WI)",D,WI,0.7355679702048417,466,71
113,N000179,"Napolitano (D-CA)",D,CA,0.8118081180811808,491,51
113,P000373,"Pitts (R-PA)",R,PA,0.6883629191321499,428,79
113,R000588,"Richmond (D-LA)",D,LA,0.6576576576576577,460,95
113,R000409,"Rohrabacher (R-CA)",R,CA,0.5,378,126
113,R000576,"Ruppersberger (D-MD)",D,MD,0.7158671586715867,465,77
113,S001145,"Schakowsky (D-IL)",D,IL,0.7523452157598499,467,66
113,S001162,"Schwartz (D-PA)",D,PA,0.6081330868761553,435,106
113,S001185,"Sewell (D-AL)",D,AL,0.7472118959107806,470,68
113,S000510,"Smith (D-WA)",D,WA,0.6732495511669659,466,91
113,T000469,"Tonko (D-NY)",D,NY,0.8579439252336448,497,38
113,A000210,"Andrews (D-NJ)",D,NJ,0.755223880597015,294,41
113,B001279,"Barber (D-AZ)",D,AZ,0.5522388059701493,416,120
113,B001252,"Barrow (D-GA)",D,GA,0.6142322097378277,431,103
113,B001270,"Bass (D-CA)",D,CA,0.6838235294117647,458,86
113,B001281,"Beatty (D-OH)",D,OH,0.8014981273408239,481,53
113,B000287,"Becerra (D-CA)",D,CA,0.8544776119402985,497,39
113,B001287,"Bera (D-CA)",D,CA,0.6934579439252336,453,82
113,B000490,"Bishop (D-GA)",D,GA,0.673469387755102,451,88
113,B001242,"Bishop (D-NY)",D,NY,0.7228464419475655,460,74
113,B001278,"Bonamici (D-OR)",D,OR,0.8614232209737828,497,37
113,B001227,"Brady (D-PA)",D,PA,0.7570093457943925,470,65
113,B001285,"Brownley (D-CA)",D,CA,0.7490636704119851,467,67
113,B001286,"Bustos (D-IL)",D,IL,0.7271028037383177,462,73
113,C001037,"Capuano (D-MA)",D,MA,0.6816479400749064,449,85
113,C001097,"C113 (D-h)",D,h,0.7360594795539034,467,71
113,C001072,"Carson (D-IN)",D,IN,0.7959183673469388,440,50
113,C001090,"Cartwright (D-PA)",D,PA,0.8519924098671727,488,39
113,C001091,"Castro (D-TX)",D,TX,0.7815442561205274,473,58
113,C001080,"Chu (D-CA)",D,CA,0.7675276752767528,479,63
113,C001084,"Cicilline (D-RI)",D,RI,0.8120300751879699,482,50
113,C001067,"Clarke (D-NY)",D,NY,0.6716417910447762,448,88
113,C001049,"Clay (D-MO)",D,MO,0.7649253731343284,473,63
113,C001061,"Cleaver (D-MO)",D,MO,0.7365491651205937,468,71
113,C000537,"Clyburn (D-SC)",D,SC,0.7523105360443623,474,67
113,C001068,"Cohen (D-TN)",D,TN,0.7644859813084112,472,63
113,C001078,"Connolly (D-VA)",D,VA,0.753731343283582,470,66
113,C000714,"Conyers (D-MI)",D,MI,0.7164179104477612,460,76
113,C000754,"Cooper (D-TN)",D,TN,0.7616387337057728,473,64
113,C001069,"Courtney (D-CT)",D,CT,0.7570093457943925,470,65
113,C001038,"Crowley (D-NY)",D,NY,0.7408759124087592,477,71
113,C001063,"Cuellar (D-TX)",D,TX,0.7415730337078652,465,69
113,C000984,"Cummings (D-MD)",D,MD,0.8066914498141264,486,52
113,D000598,"Davis (D-CA)",D,CA,0.851024208566108,497,40
113,D000096,"Davis (D-Danny")",D,Danny",0.7271028037383177,462,73
113,D000197,"DeGette (D-CO)",D,CO,0.8305084745762712,486,45
113,D000620,"Delaney (D-MD)",D,MD,0.7761467889908257,484,61
113,D000216,"DeLauro (D-CT)",D,CT,0.852670349907919,503,40
113,D000617,"DelBene (D-WA)",D,WA,0.7640449438202247,471,63
113,D000610,"Deutch (D-FL)",D,FL,0.7711069418386491,472,61
113,D000355,"Dingell (D-MI)",D,MI,0.6988847583643123,457,81
113,D000399,"Doggett (D-TX)",D,TX,0.8127340823970037,484,50
113,D000482,"Doyle (D-PA)",D,PA,0.7481481481481481,472,68
113,D000622,"Duckworth (D-IL)",D,IL,0.6404494382022472,438,96
113,E000290,"Edwards (D-MD)",D,MD,0.8181818181818182,500,50
113,E000288,"Ellison (D-MN)",D,MN,0.7736549165120594,478,61
113,E000179,"Engel (D-NY)",D,NY,0.7794392523364486,476,59
113,E000292,"Enyart (D-IL)",D,IL,0.6654275092936803,448,90
113,E000215,"Eshoo (D-CA)",D,CA,0.8262476894639557,494,47
113,E000293,"Esty (D-CT)",D,CT,0.7677902621722846,472,62
113,F000030,"Farr (D-CA)",D,CA,0.7806691449814126,479,59
113,F000043,"Fattah (D-PA)",D,PA,0.7947761194029851,481,55
113,F000454,"Foster (D-IL)",D,IL,0.746268656716418,468,68
113,F000462,"Frankel (D-FL)",D,FL,0.7925925925925926,484,56
113,F000455,"Fudge (D-OH)",D,OH,0.7355679702048417,466,71
113,G000571,"Gabbard (D-HI)",D,HI,0.7430167597765364,468,69
113,G000572,"Gallego (D-TX)",D,TX,0.6816479400749064,449,85
113,G000573,"Garcia (D-FL)",D,FL,0.6353591160220995,444,99
113,G000556,"Grayson (D-FL)",D,FL,0.7896678966789668,485,57
113,G000553,"Green (D-Al")",D,Al",0.7541899441340782,471,66
113,G000410,"Green (D-Gene")",D,Gene",0.6654275092936803,448,90
