congress,party,name,id,state,party_percentage
101,D,"Mitchell (D-ME)",S144,ME,1
101,R,"Dole (R-KS)",S026,KS,1
102,D,"Mitchell (D-ME)",S144,ME,1
102,R,"Dole (R-KS)",S026,KS,1
103,D,"Mitchell (D-ME)",S144,ME,1
103,R,"Dole (R-KS)",S026,KS,1
104,D,"Daschle (D-SD)",S185,SD,1
104,R,"Lott (R-MS)",S203,MS,1
105,D,"Daschle (D-SD)",S185,SD,1
105,R,"Lott (R-MS)",S203,MS,1
106,D,"Daschle (D-SD)",S185,SD,1
106,R,"Lott (R-MS)",S203,MS,1
107,D,"Daschle (D-SD)",S185,SD,1
107,R,"Lott (R-MS)",S203,MS,1
108,D,"Daschle (D-SD)",S185,SD,1
108,R,"Frist (R-TN)",S241,TN,1
109,D,"Reid (D-NV)",S198,NV,1
109,R,"Frist (R-TN)",S241,TN,1
110,D,"Reid (D-NV)",S198,NV,1
110,R,"McConnell (R-KY)",S174,KY,1
111,D,"Reid (D-NV)",S198,NV,1
111,R,"McConnell (R-KY)",S174,KY,1
112,D,"Reid (D-NV)",S198,NV,1
112,R,"McConnell (R-KY)",S174,KY,1
113,D,"Reid (D-NV)",S198,NV,1
113,R,"McConnell (R-KY)",S174,KY,1
