congress,person_id,person_name,party,state,party_percentage
106,B000134,"Barcia",D,MI,0.9767103347889374
106,F000030,"Farr",D,CA,0.982274741506647
106,G000021,"Gallegly",R,CA,0.9795021961932651
106,H000874,"Hoyer",D,MD,0.9649122807017544
106,M000725,"Miller,D,George",0.9736070381231672
106,M000844,"Mollohan",D,WV,0.9011299435028248
106,S000810,"Stark",D,CA,0.8573388203017832
106,A000014,"Abercrombie",D,HI,0.948051948051948
106,A000022,"Ackerman",D,NY,0.8940027894002789
106,A000055,"Aderholt",R,AL,0.9941176470588236
106,A000357,"Allen",D,ME,0.9766081871345029
106,A000210,"Andrews",D,NJ,0.9882869692532943
106,A000215,"Archer",R,TX,0.909985935302391
106,A000217,"Armey",R,TX,1.0
106,B000013,"Bachus",R,AL,0.9766763848396501
106,B001229,"Baird",D,WA,0.9882352941176471
106,B000072,"Baker",R,LA,0.9623733719247467
106,B000081,"Baldacci",D,ME,0.9766423357664233
106,B001230,"Baldwin",D,WI,0.9396551724137931
106,B000104,"Ballenger",R,NC,0.9737991266375546
106,B000169,"Barr",R,GA,0.9619326500732065
106,B000179,"Barrett (NE)",R,NE,0.9882525697503671
106,B000177,"Barrett (WI)",D,WI,0.9940915805022157
106,B000208,"Bartlett",R,MD,0.9970544918998527
106,B000213,"Barton",R,TX,0.8681318681318682
106,B000220,"Bass",R,NH,0.9941176470588236
106,B000229,"Bateman",R,VA,0.9430604982206405
106,B000287,"Becerra",D,CA,0.8784530386740331
106,B000400,"Bentsen",D,TX,0.982532751091703
106,B000403,"Bereuter",R,NE,0.9766423357664233
106,B001231,"Berkley",D,NV,0.9853372434017595
106,B000410,"Berman",D,CA,0.8970792767732962
106,B000420,"Berry",D,AR,0.9709302325581395
106,B001232,"Biggert",R,IL,0.9941262848751835
106,B000461,"Bilbray",R,CA,0.9047619047619048
106,B000463,"Bilirakis",R,FL,0.9853587115666179
106,B000490,"Bishop",D,GA,0.9538239538239538
106,B000518,"Blagojevich",D,IL,0.9651162790697675
106,B000556,"Bliley",R,VA,0.9426934097421203
106,B000574,"Blumenauer",D,OR,0.9563318777292577
106,B000575,"Blunt",R,MO,0.9767441860465116
106,B000586,"Boehlert",R,NY,1.0
