congress,party,name,id,state,party_percentage
101,D,"Gephardt",G000132,MO,1
101,R,"Michel",M000692,IL,1
102,D,"Gephardt",G000132,MO,1
102,R,"Michel",M000692,IL,1
103,D,"Gephardt",G000132,MO,1
103,R,"Armey",A000217,TX,1
104,D,"Gephardt",G000132,MO,1
104,R,"Armey",A000217,TX,1
105,D,"Gephardt",G000132,MO,1
105,R,"Armey",A000217,TX,1
106,D,"Gephardt",G000132,MO,1
106,R,"Armey",A000217,TX,1
107,D,"Gephardt",G000132,MO,1
107,R,"Armey",A000217,TX,1
108,D,"Pelosi",P000197,CA,1
108,R,"DeLay",D000217,TX,1
109,D,"Pelosi",P000197,CA,1
109,R,"Boehner",B000589,OH,1
110,D,"Hoyer",H000874,MD,1
110,R,"Boehner",B000589,OH,1
111,D,"Hoyer",H000874,MD,1
111,R,"Boehner",B000589,OH,1
112,D,"Pelosi",P000197,CA,1
112,R,"Cantor",C001046,VA,1
113,D,"Pelosi",P000197,CA,1
113,R,"Cantor",C001046,VA,1
